length,cache size,datatype,red. length,neigh. num,train score,test score
1000,10485760,['size' 'time'],5,1,1.0,0.2814285714285714
1000,10485760,['size' 'time'],5,2,0.9966666666666667,0.28285714285714286
1000,10485760,['size' 'time'],5,3,0.9933333333333333,0.36857142857142855
1000,10485760,['size' 'time'],5,4,0.9833333333333333,0.30857142857142855
1000,10485760,['size' 'time'],5,5,0.9733333333333334,0.48714285714285716
1000,10485760,['size' 'time'],5,6,0.9666666666666667,0.3357142857142857
1000,10485760,['size' 'time'],5,7,0.9666666666666667,0.36714285714285716
1000,10485760,['size' 'time'],5,8,0.96,0.36
1000,10485760,['size' 'time'],5,9,0.9533333333333334,0.46714285714285714
1000,10485760,['size' 'time'],5,10,0.95,0.4542857142857143
1000,33554432,['size' 'time'],5,1,1.0,0.32
1000,33554432,['size' 'time'],5,2,1.0,0.32571428571428573
1000,33554432,['size' 'time'],5,3,0.9966666666666667,0.36857142857142855
1000,33554432,['size' 'time'],5,4,0.9966666666666667,0.36428571428571427
1000,33554432,['size' 'time'],5,5,0.99,0.48428571428571426
1000,33554432,['size' 'time'],5,6,0.99,0.5285714285714286
1000,33554432,['size' 'time'],5,7,0.99,0.5485714285714286
1000,33554432,['size' 'time'],5,8,0.99,0.5442857142857143
1000,33554432,['size' 'time'],5,9,0.99,0.5485714285714286
1000,33554432,['size' 'time'],5,10,0.99,0.5485714285714286
1000,67108864,['size' 'time'],5,1,1.0,0.3442857142857143
1000,67108864,['size' 'time'],5,2,0.9933333333333333,0.36714285714285716
1000,67108864,['size' 'time'],5,3,0.99,0.46714285714285714
1000,67108864,['size' 'time'],5,4,0.9933333333333333,0.4357142857142857
1000,67108864,['size' 'time'],5,5,0.9866666666666667,0.48857142857142855
1000,67108864,['size' 'time'],5,6,0.9866666666666667,0.45714285714285713
1000,67108864,['size' 'time'],5,7,0.9833333333333333,0.4714285714285714
1000,67108864,['size' 'time'],5,8,0.9833333333333333,0.4957142857142857
1000,67108864,['size' 'time'],5,9,0.9833333333333333,0.5
1000,67108864,['size' 'time'],5,10,0.98,0.49714285714285716
