length,size,datatype,NeighNum,test_score,dim,NN_test_score
1000,10485760,['size' 'time'],1,0.6428571428571429,5,0.4742857142857143
1000,10485760,['size' 'time'],1,0.6428571428571429,10,0.5028571428571429
1000,10485760,['size' 'time'],1,0.6428571428571429,20,0.3985714285714286
1000,10485760,['size' 'time'],1,0.6428571428571429,100,0.3642857142857143
1000,10485760,['size' 'time'],2,0.5842857142857143,5,0.46
1000,10485760,['size' 'time'],2,0.5842857142857143,10,0.4828571428571429
1000,10485760,['size' 'time'],2,0.5842857142857143,20,0.3985714285714286
1000,10485760,['size' 'time'],2,0.5842857142857143,100,0.4114285714285714
1000,10485760,['size' 'time'],3,0.6685714285714286,5,0.49
1000,10485760,['size' 'time'],3,0.6685714285714286,10,0.5242857142857142
1000,10485760,['size' 'time'],3,0.6685714285714286,20,0.4242857142857143
1000,10485760,['size' 'time'],3,0.6685714285714286,100,0.4085714285714286
1000,10485760,['size' 'time'],4,0.6628571428571428,5,0.4771428571428572
1000,10485760,['size' 'time'],4,0.6628571428571428,10,0.5171428571428571
1000,10485760,['size' 'time'],4,0.6628571428571428,20,0.4185714285714286
1000,10485760,['size' 'time'],4,0.6628571428571428,100,0.4128571428571429
1000,10485760,['size' 'time'],5,0.6885714285714286,5,0.4914285714285714
1000,10485760,['size' 'time'],5,0.6885714285714286,10,0.5328571428571428
1000,10485760,['size' 'time'],5,0.6885714285714286,20,0.4257142857142857
1000,10485760,['size' 'time'],5,0.6885714285714286,100,0.4028571428571429
1000,10485760,['size' 'time'],6,0.67,5,0.4885714285714286
1000,10485760,['size' 'time'],6,0.67,10,0.5257142857142857
1000,10485760,['size' 'time'],6,0.67,20,0.42857142857142855
1000,10485760,['size' 'time'],6,0.67,100,0.4071428571428571
1000,10485760,['size' 'time'],7,0.6857142857142857,5,0.5028571428571429
1000,10485760,['size' 'time'],7,0.6857142857142857,10,0.5314285714285715
1000,10485760,['size' 'time'],7,0.6857142857142857,20,0.4371428571428572
1000,10485760,['size' 'time'],7,0.6857142857142857,100,0.4042857142857143
1000,10485760,['size' 'time'],8,0.7028571428571428,5,0.4942857142857143
1000,10485760,['size' 'time'],8,0.7028571428571428,10,0.5257142857142857
1000,10485760,['size' 'time'],8,0.7028571428571428,20,0.43857142857142856
1000,10485760,['size' 'time'],8,0.7028571428571428,100,0.4057142857142857
1000,10485760,['size' 'time'],9,0.6971428571428572,5,0.4985714285714286
1000,10485760,['size' 'time'],9,0.6971428571428572,10,0.5357142857142857
1000,10485760,['size' 'time'],9,0.6971428571428572,20,0.44142857142857145
1000,10485760,['size' 'time'],9,0.6971428571428572,100,0.4042857142857143
1000,10485760,['size' 'time'],10,0.7042857142857143,5,0.4985714285714286
1000,10485760,['size' 'time'],10,0.7042857142857143,10,0.53
1000,10485760,['size' 'time'],10,0.7042857142857143,20,0.44
1000,10485760,['size' 'time'],10,0.7042857142857143,100,0.4028571428571429
1000,10485760,['size'],1,0.69,5,0.36
1000,10485760,['size'],1,0.69,10,0.41
1000,10485760,['size'],1,0.69,20,0.4685714285714286
1000,10485760,['size'],1,0.69,100,0.3857142857142857
1000,10485760,['size'],2,0.65,5,0.3385714285714286
1000,10485760,['size'],2,0.65,10,0.39571428571428574
1000,10485760,['size'],2,0.65,20,0.4542857142857143
1000,10485760,['size'],2,0.65,100,0.4171428571428572
1000,10485760,['size'],3,0.7057142857142857,5,0.3842857142857143
1000,10485760,['size'],3,0.7057142857142857,10,0.4242857142857143
1000,10485760,['size'],3,0.7057142857142857,20,0.4957142857142857
1000,10485760,['size'],3,0.7057142857142857,100,0.4142857142857143
1000,10485760,['size'],4,0.6914285714285714,5,0.38142857142857145
1000,10485760,['size'],4,0.6914285714285714,10,0.4142857142857143
1000,10485760,['size'],4,0.6914285714285714,20,0.47
1000,10485760,['size'],4,0.6914285714285714,100,0.4228571428571429
1000,10485760,['size'],5,0.7128571428571429,5,0.3928571428571429
1000,10485760,['size'],5,0.7128571428571429,10,0.44
1000,10485760,['size'],5,0.7128571428571429,20,0.5028571428571429
1000,10485760,['size'],5,0.7128571428571429,100,0.4228571428571429
1000,10485760,['size'],6,0.7057142857142857,5,0.39
1000,10485760,['size'],6,0.7057142857142857,10,0.43142857142857133
1000,10485760,['size'],6,0.7057142857142857,20,0.49
1000,10485760,['size'],6,0.7057142857142857,100,0.4214285714285714
1000,10485760,['size'],7,0.7142857142857143,5,0.4
1000,10485760,['size'],7,0.7142857142857143,10,0.4371428571428572
1000,10485760,['size'],7,0.7142857142857143,20,0.5085714285714286
1000,10485760,['size'],7,0.7142857142857143,100,0.4214285714285714
1000,10485760,['size'],8,0.7185714285714285,5,0.3928571428571429
1000,10485760,['size'],8,0.7185714285714285,10,0.42857142857142855
1000,10485760,['size'],8,0.7185714285714285,20,0.5
1000,10485760,['size'],8,0.7185714285714285,100,0.42
1000,10485760,['size'],9,0.7185714285714285,5,0.4
1000,10485760,['size'],9,0.7185714285714285,10,0.44
1000,10485760,['size'],9,0.7185714285714285,20,0.5071428571428571
