length,size,datatype,NeighNum,test_score,dim,NN_test_score
1000,10485760,['size' 'time'],1,0.6557142857142857,5,0.2814285714285714
1000,10485760,['size' 'time'],1,0.6557142857142857,10,0.29
1000,10485760,['size' 'time'],1,0.6557142857142857,20,0.3085714285714285
1000,10485760,['size' 'time'],2,0.5457142857142857,5,0.2642857142857143
1000,10485760,['size' 'time'],2,0.5457142857142857,10,0.2885714285714286
1000,10485760,['size' 'time'],2,0.5457142857142857,20,0.2957142857142857
1000,10485760,['size' 'time'],3,0.7057142857142857,5,0.35
1000,10485760,['size' 'time'],3,0.7057142857142857,10,0.4042857142857143
1000,10485760,['size' 'time'],3,0.7057142857142857,20,0.4114285714285714
1000,10485760,['size' 'time'],4,0.6914285714285714,5,0.2957142857142857
1000,10485760,['size' 'time'],4,0.6914285714285714,10,0.3514285714285714
1000,10485760,['size' 'time'],4,0.6914285714285714,20,0.3528571428571429
1000,10485760,['size' 'time'],5,0.7142857142857143,5,0.3971428571428571
1000,10485760,['size' 'time'],5,0.7142857142857143,10,0.5028571428571429
1000,10485760,['size' 'time'],5,0.7142857142857143,20,0.5285714285714286
1000,10485760,['size' 'time'],6,0.7071428571428572,5,0.32
1000,10485760,['size' 'time'],6,0.7071428571428572,10,0.35714285714285715
1000,10485760,['size' 'time'],6,0.7071428571428572,20,0.39
1000,10485760,['size' 'time'],7,0.7157142857142857,5,0.3342857142857143
1000,10485760,['size' 'time'],7,0.7157142857142857,10,0.3842857142857143
1000,10485760,['size' 'time'],7,0.7157142857142857,20,0.4157142857142857
1000,10485760,['size' 'time'],8,0.7185714285714285,5,0.31857142857142856
1000,10485760,['size' 'time'],8,0.7185714285714285,10,0.3428571428571429
1000,10485760,['size' 'time'],8,0.7185714285714285,20,0.3842857142857143
1000,10485760,['size' 'time'],9,0.7185714285714285,5,0.38142857142857145
1000,10485760,['size' 'time'],9,0.7185714285714285,10,0.4971428571428572
1000,10485760,['size' 'time'],9,0.7185714285714285,20,0.5385714285714286
1000,10485760,['size' 'time'],10,0.7185714285714285,5,0.36857142857142855
1000,10485760,['size' 'time'],10,0.7185714285714285,10,0.4042857142857143
1000,10485760,['size' 'time'],10,0.7185714285714285,20,0.5357142857142857
1000,10485760,['size'],1,0.6557142857142857,5,0.28
1000,10485760,['size'],1,0.6557142857142857,10,0.3257142857142857
1000,10485760,['size'],1,0.6557142857142857,20,0.3085714285714285
1000,10485760,['size'],2,0.5457142857142857,5,0.2842857142857143
1000,10485760,['size'],2,0.5457142857142857,10,0.3257142857142857
1000,10485760,['size'],2,0.5457142857142857,20,0.29714285714285715
1000,10485760,['size'],3,0.7057142857142857,5,0.3142857142857143
1000,10485760,['size'],3,0.7057142857142857,10,0.43857142857142856
1000,10485760,['size'],3,0.7057142857142857,20,0.5285714285714286
1000,10485760,['size'],4,0.6914285714285714,5,0.3157142857142857
1000,10485760,['size'],4,0.6914285714285714,10,0.4142857142857143
1000,10485760,['size'],4,0.6914285714285714,20,0.43
1000,10485760,['size'],5,0.7142857142857143,5,0.3742857142857143
1000,10485760,['size'],5,0.7142857142857143,10,0.5114285714285715
1000,10485760,['size'],5,0.7142857142857143,20,0.5985714285714285
1000,10485760,['size'],6,0.7071428571428572,5,0.2914285714285714
1000,10485760,['size'],6,0.7071428571428572,10,0.44142857142857145
1000,10485760,['size'],6,0.7071428571428572,20,0.4871428571428572
1000,10485760,['size'],7,0.7157142857142857,5,0.3057142857142857
